time,left_q1,left_q2,left_q3,left_q4,left_q5,left_q6,left_q7,right_q1,right_q2,right_q3,right_q4,right_q5,right_q6,right_q7,left_x,left_y,left_z,left_qx,left_qy,left_qz,left_qw,right_x,right_y,right_z,right_qx,right_qy,right_qz,right_qw,left_gripper,right_gripper
1780538689.4416115,5.189427095105556e-06,-0.7850842367452218,-0.0002533426807402304,-2.356486888662909,-0.00027708121010526753,1.5708913439375667,0.7849364607148919,0.00010892049501196551,-0.7852027682877349,-0.0008789900627727768,-2.3568189327919384,-0.000159589874516416,1.570962172019987,0.785622625666158,0.3069800000596087,-0.00013925494560231252,0.48679739435904545,0.9999999514830977,0.0001439192446434409,-0.00025567756268229225,4.891729293245874e-05,0.3069340466749812,-0.00028645457242157163,0.4866831352237112,0.9999998476842968,-0.00036846055353609216,-0.00032705949656019437,-0.00023096136542345385,0.08084485679864883,0.08080349117517471
1780538689.4749682,8.708518924859667e-06,-0.7849350972259943,-0.00033512425550811354,-2.3565124599217433,-0.0002782499452281488,1.5708916057806537,0.7849352089302618,0.00011008200880694798,-0.7852023297574404,-0.0011467268572683538,-2.3568602644143364,-0.00016084132925387183,1.570966228630135,0.7856218048137364,0.30699970114160025,-0.0001650655055575663,0.4867395511591293,0.9999999298289909,0.00011739388112011516,-0.0003428996081222994,2.057700303283307e-05,0.3069296066299228,-0.00037355164920251506,0.4866637742654832,0.9999997762967499,-0.0004621065268840607,-0.00034593977829408377,-0.0003250116010168583,0.08084485679864883,0.08080349117517471
1780538689.508325,6.592393781532122e-06,-0.7846535091907746,-0.0005114183746236807,-2.3565129916862646,-0.0002823329301374132,1.5708911997316404,0.784936137290398,0.00011307631881117166,-0.7851965505595551,-0.0013523602322214076,-2.3568781202540356,-0.00016044826601849068,1.5709678625262105,0.7856175062227098,0.3070428016604965,-0.00022401777267761497,0.4866527863938894,0.9999998762958205,5.353016373036617e-05,-0.0004841578391711926,-3.9710401605031346e-05,0.3069284923220098,-0.00043951704573227105,0.48665364981692055,0.99999971178165,-0.0005311481186610561,-0.0003569579808782353,-0.0003979222977401219,0.08084485679864883,0.08080349117517471
1780538689.540912,9.367193839223695e-06,-0.7843484302122251,-0.0006747421793788228,-2.356513370036724,-0.000282715622833079,1.5708908935619283,0.7849285453346013,0.00011164107677803717,-0.7851965495364688,-0.0014982585427791406,-2.3568907332689797,-0.00016120439881148175,1.5709673556696953,0.7856280667409273,0.30708952239418275,-0.0002764634185381538,0.48655887231898765,0.9999997880859847,9.401791769079912e-07,-0.0006370344132245555,-9.724773795171766e-05,0.3069267206218755,-0.0004876281124615036,0.48664759859362305,0.9999996554880101,-0.0005887166511261457,-0.00036353330583835115,-0.00044913579550718544,0.08084485679864883,0.08080349117517471
1780538689.5728595,1.285181055126472e-05,-0.7841139732306363,-0.0007463026456536039,-2.356513435255976,-0.00027998054006265983,1.5708940261091504,0.7849336007523977,0.00011779639036803375,-0.7851969981796887,-0.0015765229607576582,-2.3569001655450377,-0.00016032843196590012,1.570967400936578,0.7856247216548454,0.3071261548292439,-0.00029813517594389356,0.48648709813878127,0.9999997044304731,-2.517181217144538e-05,-0.0007527268138711715,-0.00012389735256420503,0.30692542754341384,-0.0005110389336116618,0.48664325769810785,0.9999996270762795,-0.0006116297461736533,-0.000368009933413673,-0.00047725035969053764,0.08084485679864883,0.08080349117517471
1780538689.603933,1.0675451465247882e-05,-0.7839896511133714,-0.0007514782359090179,-2.3565122359794253,-0.00027977867453267635,1.5708904808998776,0.7849283812754355,0.00011479703531914338,-0.7851985100568053,-0.0015769986693021016,-2.3568994116300126,-0.00016031963830457656,1.5709705932599662,0.7856203116479727,0.30714464051232815,-0.0003004472570057751,0.4864491685784024,0.9999996545030695,-2.5489002020303798e-05,-0.0008160601460218431,-0.000125828276511265,0.30692596216082113,-0.0005121140569529386,0.48664435791945787,0.9999996283225747,-0.0006110932248364811,-0.0003652791485132586,-0.0004774241175004305,0.08084485679864883,0.08080349117517471
1780538689.6403732,1.0675451466063303e-05,-0.7839497445000223,-0.0007527075889982091,-2.356513436173178,-0.00028188979789525286,1.570895006790043,0.7849313789908764,0.00012054818356351682,-0.7851945603595741,-0.001580794240527509,-2.3569004285321355,-0.0001595868798136615,1.5709682800312732,0.7856277097711801,0.3071515618278334,-0.0003012921434990162,0.486436741182183,0.9999996394362414,-2.742433455917604e-05,-0.0008343512700150767,-0.00012520429479028045,0.30692595344393714,-0.000511429494060862,0.48664246102621034,0.999999624843868,-0.0006132586913239084,-0.00036892240141371665,-0.0004791294436288367,0.08084485679864883,0.08080349117517471
1780538689.6713748,1.2010011867437582e-05,-0.7839467785529403,-0.0007559072611176272,-2.356512992534706,-0.0002828711513043383,1.5708959225340569,0.7849269280446857,0.00011970090718053915,-0.7851984453652497,-0.0015847746351031382,-2.356902197446837,-0.00015805540732174487,1.570966656783422,0.7856202638335992,0.30715226644195753,-0.0003021315447058645,0.4864361191029941,0.9999996387320494,-2.566340849833314e-05,-0.0008351545002723788,-0.00012584508481305198,0.3069247864280546,-0.0005126621632816023,0.48664267446512344,0.9999996250496633,-0.0006113649337535981,-0.0003686740476523919,-0.00048130630386972623,0.08084485679864883,0.08080349117517471
1780538689.706922,1.0525826039341524e-05,-0.7839437846010432,-0.0007610387169880825,-2.3565133767736746,-0.00028395480490023,1.5708954116539156,0.7849300354740892,0.00012265447112146994,-0.7851962728702051,-0.001590129116354136,-2.3569044231410614,-0.00015881321160125052,1.5709668137109178,0.7856218584322644,0.30715256712844113,-0.0003044872572072979,0.4864349721985433,0.9999996368313189,-2.977414902514316e-05,-0.0008370992479823699,-0.00012711586832163784,0.3069248671368498,-0.0005136575216254336,0.48664096842837,0.9999996227931782,-0.0006125778700918747,-0.0003707963961773505,-0.0004828195812567228,0.08084485679864883,0.08080349117517471
1780538689.7398303,1.1909022003196959e-05,-0.7839451371765722,-0.0007610656223860342,-2.3565143574364993,-0.00028086974641389217,1.5708950270520903,0.7849336664085734,0.00011994573438437184,-0.7851924144732109,-0.001594596046759329,-2.356906739139351,-0.0001618436781586693,1.5709718244418427,0.7856265516500898,0.3071521531371641,-0.0003034217385690311,0.48643489122931993,0.9999996365936885,-3.090866810753884e-05,-0.0008371051461439224,-0.0001286661719043693,0.30692621373992746,-0.0005165811882222105,0.48663912856301705,0.9999996192980668,-0.0006178584521175725,-0.0003713796966157269,-0.0004828815970550215,0.08084485679864883,0.08080349117517471
